"","G_2022","AB_2022","PA_2022","H_2022","X1B_2022","X2B_2022","X3B_2022","HR_2022","R_2022","RBI_2022","BB_2022","IBB_2022","SO_2022","HBP_2022","SF_2022","SH_2022","GDP_2022","SB_2022","CS_2022","AVG_2022","GB_2022","FB_2022","LD_2022","IFFB_2022","Pitches_2022","Balls_2022","Strikes_2022","IFH_2022","BU_2022","BUH_2022","BB_pct_2022","K_pct_2022","BB_K_2022","OBP_2022","SLG_2022","OPS_2022","ISO_2022","BABIP_2022","GB_FB_2022","LD_pct_2022","GB_pct_2022","FB_pct_2022","IFFB_pct_2022","HR_FB_2022","IFH_pct_2022","BUH_pct_2022","TTO_pct_2022","wOBA_2022","wRAA_2022","wRC_2022","WAR_2022","BaseRunning_2022","Spd_2022","wRC_plus_2022","wBsR_2022","WPA_2022","Clutch_2022","O.Swing_pct_2022","Z.Swing_pct_2022","Swing_pct_2022","O.Contact_pct_2022","Z.Contact_pct_2022","Contact_pct_2022","Zone_pct_2022","F.Strike_pct_2022","SwStr_pct_2022","CStr_pct_2022","C.SwStr_pct_2022","BB_pct_plus_2022","K_pct_plus_2022","OBP_plus_2022","SLG_plus_2022","ISO_plus_2022","BABIP_plus_2022","LD_pct_plus_2022","GB_pct_plus_2022","FB_pct_plus_2022","HRFB_pct_plus_2022","xwOBA_2022","xAVG_2022","xSLG_2022","XBR_2022","EV_2022","LA_2022","Barrels_2022","Barrel_pct_2022","maxEV_2022","HardHit_2022","HardHit_pct_2022"
"G_2021",0.572045450334953,0.60958192738805,0.610086162942652,0.598656150942425,0.577785855148321,0.578463667094167,0.246806633426561,0.458925167879177,0.572777350570237,0.575714683529101,0.528119249739772,0.313285284702809,0.511252144737265,0.345668063806212,0.403675465374081,-0.056954117874443,0.487591674769782,0.235166372814025,0.256445964704113,0.293480993393117,0.569902244109016,0.596223781912811,0.588284755926186,0.440782135154646,0.60388498946243,0.590030447458773,0.606539281206287,0.437315863522709,-0.0100508951415986,0.0504502708200965,0.100129272783123,-0.27999317473796,0.234062837929986,0.296463167208903,0.322180622169245,0.332878823517639,0.263642798636607,0.0754964628139015,-0.131744514564375,0.0874578804872691,-0.107036162940618,0.06257825869676,-0.0753537785461409,0.102042938860652,0.0561256511430333,0.0867957799479197,-0.170554173085636,0.326019684856741,0.283117468149946,0.570515329784878,0.399468875371292,-0.0287252591490407,0.0174580166556636,0.324943562736601,-0.034824643839934,0.24598231898502,0.0558287580337163,-0.0435171355709607,0.00791647810148319,-0.0423940176305795,0.169793756042059,0.203818708961939,0.204777582043539,-0.0934010220579821,-0.143856964740327,-0.191211555628409,-0.0178315620007432,-0.226458804165089,0.0991071871439214,-0.280276384125781,0.296894722309526,0.321819580981817,0.2619946014183,0.0754567300701332,0.0879417874024441,-0.107029132966434,0.0643158401307081,0.0998156321090712,0.389440789876288,0.373598056242316,0.382229342027747,-0.0175417825531516,0.220717995381758,0.0545609034683082,0.49722164245288,0.1791433867673,0.338595802395444,0.589678908902943,0.205100441634774
"AB_2021",0.603801475059434,0.668138180853606,0.666791998357547,0.663165177403372,0.642956611698252,0.635070591014978,0.264705832687892,0.506457072808036,0.631756521315247,0.628843005267371,0.563265852511684,0.340049173811092,0.547031066503552,0.373577659464574,0.444512468263506,-0.0900531512556593,0.534881646116244,0.266249520412453,0.281173450514016,0.346194235488288,0.63297767401553,0.654345574129153,0.648171015141025,0.488389938854111,0.655419629666339,0.638437143606268,0.659455402509925,0.495532401510141,-0.0488789716620611,0.0240855722118679,0.0841811307444965,-0.315070299089675,0.247102337488417,0.333968905996493,0.361177971951683,0.373757605573443,0.282849281742829,0.108137865114477,-0.115284127049765,0.0816284567589034,-0.0887876600521763,0.0470242081164475,-0.0817238371255077,0.12083311325754,0.0573751624831639,0.0697702683863821,-0.203936826539908,0.366812680890736,0.324139299422081,0.629333953390753,0.453727501534489,-0.0128252827674885,0.00316173580921031,0.367031649548849,-0.0259162914720854,0.28280788940493,0.0548240124698353,-0.0136671026010178,0.0497099346824258,-0.00794510327213514,0.192158057827924,0.214099462541279,0.219452013360678,-0.126207370758868,-0.157033827409708,-0.195190770632211,-0.057643433657123,-0.268169015948759,0.0857166890481816,-0.314450573224355,0.336091380368169,0.361923113927327,0.282685650477747,0.108604638766652,0.0831945537451363,-0.087780773735111,0.047173362521109,0.120163104194847,0.431518357873671,0.427199492873746,0.427323804172933,-0.00154399437412155,0.256424530430549,0.0345227479089961,0.549732137226411,0.197942599965466,0.37532877996408,0.655573197300257,0.245715449745637
"PA_2021",0.609433998068386,0.672612706862875,0.673800939950129,0.665429464005932,0.641779616879651,0.638529015245651,0.262072443438033,0.518846943344838,0.641444513396216,0.635593350988772,0.58943911710752,0.357135087267407,0.557466189420691,0.386683974141323,0.44509501435215,-0.0923521326677938,0.532613331501507,0.263108889732321,0.278890741336412,0.341892084158097,0.632711868143858,0.660275569184121,0.649040558903515,0.491402772869773,0.665779134484364,0.653906173296729,0.666686211095413,0.490393370632595,-0.0490147161427647,0.0253655060160386,0.114673546297903,-0.308377700447807,0.268445833655708,0.347189036246948,0.365521003235518,0.381599497895278,0.292509043534539,0.105499715482485,-0.119436922087401,0.0799027293222415,-0.0964516359688226,0.0557965184472571,-0.0826091901942181,0.13007439984172,0.0550261915646891,0.071776933863818,-0.18489917162753,0.376081888825091,0.338577469206837,0.640292580720364,0.4603960932727,-0.0215391779581664,-0.00178298769131488,0.376347929087655,-0.0309433592919288,0.291241422767301,0.0450549934371969,-0.0431670543240057,0.0392897606860641,-0.0335419544889083,0.185209178923212,0.207841235629539,0.216181623999381,-0.12129137395569,-0.171280112878057,-0.200399734736956,-0.0464151094612705,-0.263348846430521,0.115774359547419,-0.307921657910857,0.34901236957069,0.366041442128937,0.292049216559876,0.105861846267127,0.0812138437584295,-0.0956282094578571,0.0562535815667823,0.128996088630427,0.443816587721851,0.421997981134823,0.434247046765791,-0.0102237925692477,0.267049412715081,0.0431809770397026,0.562488398379397,0.211972021275149,0.382205096522198,0.661799355025107,0.255158493167698
"H_2021",0.617541938753951,0.690915960511971,0.688466111272717,0.700461070996314,0.686498341269303,0.66499924055702,0.275840068347224,0.516894403746187,0.661069078742042,0.648192945880392,0.574600855093699,0.374518026440137,0.53879700571448,0.376266609652868,0.453819989057457,-0.0962149026847522,0.569408481996814,0.291068506545036,0.297429129456927,0.401630233032359,0.672358207850797,0.667922269453889,0.687449210770544,0.476653297226921,0.671873605304303,0.651627447397035,0.677695007585431,0.526909440582634,-0.0509649665179357,0.0218885432877395,0.0703712182465472,-0.359310965703848,0.269494761667388,0.373525453357784,0.386792835709669,0.406034649360215,0.280071542597961,0.14957026032287,-0.0866071966632813,0.102985321427895,-0.0499636764050082,-0.00420079181632428,-0.100675014407249,0.120567041800965,0.058028565725597,0.0623252540458127,-0.250184885895712,0.398873708276443,0.368896625940146,0.663264978940953,0.485550589580212,0.00171868547942054,0.0107863073085391,0.397645980811882,-0.0122185953110843,0.317099141783355,0.0569660239178656,0.011684429860473,0.0710528025425947,0.0169125266400053,0.233212207778154,0.247751920562835,0.257841790868186,-0.143502886233237,-0.152342224846673,-0.22009126737566,-0.0793837638554996,-0.315883780776083,0.0713215637197658,-0.358778147142666,0.375589119053573,0.387475159553379,0.279750932392888,0.150034382326983,0.104402065208988,-0.0488897054460745,-0.00406586894509284,0.119774153394061,0.457203535952705,0.481008204373577,0.447666939220119,0.00972473617433505,0.25605207519618,-0.0107266521763377,0.562935478464775,0.177712506792505,0.382975858166674,0.684179907043958,0.244376514741919
"X1B_2021",0.5907606396022,0.656398944840031,0.650754228941626,0.675021811945042,0.690157331938414,0.623838947480656,0.270902793508683,0.418792170556744,0.615768786766259,0.57930992288948,0.5144173146308,0.311298133358523,0.459638428035802,0.350512733530425,0.411537977990486,-0.0408695253541664,0.562043941904625,0.290615851508404,0.286460980229367,0.413570966414348,0.679994659093197,0.612032605399894,0.68078246271242,0.418202101120917,0.627955021888026,0.600941827031117,0.638198603305482,0.530665640104096,-0.0125753698949473,0.0314532846947021,0.0239741933838605,-0.413737822579498,0.276587492244067,0.360943842932308,0.332482042040877,0.363520819128528,0.190213964027821,0.163871602357576,-0.0270356401623534,0.127293352742723,0.0269983564724047,-0.0960555117808718,-0.113930006611126,0.0548476012566069,0.0588412156693956,0.0567829857119909,-0.333515643764039,0.359678182401504,0.30883624276319,0.611241328883566,0.447286031529257,0.0175329322755159,0.0282747111817038,0.358903962964313,0.00219287320023229,0.268597945756431,0.074938463724783,0.032910229068675,0.0336180735967151,0.0213562468584747,0.302227029665136,0.30816538998453,0.327894406296169,-0.106503165587017,-0.132878000121183,-0.278483838315762,-0.0383169471915495,-0.34143848604328,0.0250859122784341,-0.413080444780165,0.3632417876643,0.3333265525056,0.190060962809672,0.164414066640732,0.128907397898028,0.0283777439316356,-0.0966723553373834,0.0545717115185806,0.407350986920395,0.49550457237977,0.379432155095411,0.022270635067234,0.181489770333127,-0.096129896924905,0.464818558753901,0.0734386269835532,0.308762778756765,0.636271155212989,0.167380079921038
"X2B_2021",0.582623740144131,0.65455632958904,0.651895870089564,0.658193087907086,0.630592874093246,0.65468188293061,0.255569288575831,0.50099318023191,0.625479808735745,0.617121543960392,0.53908599151448,0.347445280087483,0.523216448915571,0.361176316559149,0.44731473862666,-0.0958724113757747,0.518030751102369,0.283738630857593,0.292432985632789,0.37894021178813,0.616316328617946,0.651558433824776,0.641477349720046,0.491384954536312,0.637867783612536,0.619364366673607,0.642968313874524,0.482259116534104,-0.0422971286389927,0.0423457019972091,0.0572721535111996,-0.318348864892689,0.223787019890215,0.346002112282276,0.390415499780423,0.398561107150366,0.302260549249668,0.141421976929589,-0.120792880773521,0.081947614947034,-0.0950653816834332,0.0532696458716063,-0.0719933728520836,0.128065586287794,0.0548187570031672,0.0725803709226102,-0.215307142034145,0.388598408207327,0.345678135502177,0.626606743084051,0.467031213251226,0.025401090698432,0.00745120105622009,0.384852492930717,-0.00614541831841877,0.288042497236319,0.0372281756158473,0.00483175216253908,0.0944030814346912,0.0280575277449911,0.194833687820033,0.227098190397736,0.23064281293285,-0.113243064823921,-0.129998840105011,-0.194271958643182,-0.0960997070725341,-0.303243949306171,0.0582749143514424,-0.318022323169034,0.347885674893138,0.39099797475496,0.301901556002559,0.141824216964666,0.0833265227395972,-0.094308233905367,0.0536861440413757,0.126721928234308,0.415595960619728,0.43006200562563,0.418007317194974,0.0379160461980345,0.233554381755241,0.0457652491108664,0.534380085874433,0.175641432172602,0.365938007018541,0.640410582674047,0.22768169614229
"X3B_2021",0.270064317097408,0.282870236918655,0.277572981403208,0.284309266342292,0.291451455466348,0.270325617677517,0.403673190677704,0.119698465936098,0.285028398253926,0.219867919881869,0.189831401387782,0.196181936120258,0.208012256430621,0.151878306485549,0.192876798107865,0.040310490446509,0.0990740501453417,0.272558205818113,0.32648000413669,0.140125522870758,0.277837375933708,0.266908006454901,0.295754610977609,0.168253649977004,0.262869207584778,0.242190105261637,0.272720189897614,0.250477342105953,0.106477412509036,0.112435280641429,-0.040809301138129,-0.134036846252737,0.079672683331912,0.0899883811121818,0.0963358745378104,0.100001202582349,0.0401188067185823,0.0717767824658686,-0.0434880542057838,0.064404762927048,-0.015628959626818,-0.0186068732878396,-0.0603724111635682,-0.0586686207203045,0.0612957182633505,0.091818088160241,-0.13895784557289,0.0912682808034847,0.0686667855652212,0.235887652137981,0.17893057017668,0.219414819222433,0.250951579522021,0.0871039716252505,0.0374601422177601,0.0857806813849437,0.0350773737157178,0.0403715067568162,0.000546323311688536,0.0291391691530264,0.103918697001803,0.140798421949874,0.128499305761482,-0.0137320779903076,-0.056064778440112,-0.0992671055615982,-0.0117106425727448,-0.119886806496632,-0.0429352882754385,-0.134835273619842,0.0888669037328007,0.0950866086482526,0.0374947343803615,0.0713969045711764,0.0637975853231959,-0.0159357081266117,-0.0161416850989216,-0.0610089345219607,0.0913259040828068,0.171897667885072,0.0856353214043634,0.272601747259398,0.00021377927427421,-0.0180181536076917,0.1396495593132,-0.0371276045185155,0.110106556281738,0.231186219205327,-0.0158084853319536
"HR_2021",0.498666626879858,0.572251079824579,0.581542636953021,0.556255629325184,0.468887682105384,0.550769583609898,0.163042061579603,0.655571210638441,0.584404824955482,0.654295582401111,0.586120387362032,0.449830470396664,0.597884696241626,0.328854696420254,0.418258421823183,-0.244274345767322,0.447830952725397,0.166036567820191,0.192639571947746,0.238210061927131,0.449059089675177,0.6052757592368,0.490970300207146,0.466324172726525,0.589184592537216,0.597815712761539,0.578626424023877,0.354673568062094,-0.179054343272348,-0.0525367319875878,0.21182336443479,-0.0965324000871615,0.195774875323941,0.307882655341203,0.414327780351177,0.401392776302799,0.441989129122151,0.0547702982199387,-0.203276672038276,0.00606972777023455,-0.225603521310052,0.227708005045663,-0.0472763886970063,0.287970303246423,0.0310169460832491,0.0354878543159565,0.0746903566987412,0.39033785795134,0.451429536377085,0.615311185144965,0.441632648457072,-0.105089288926443,-0.0814717799561269,0.391269616530171,-0.0649912660785413,0.38351220897053,-0.00244117499320669,-0.0572668429738166,0.141193688300336,-0.0180077389108927,-0.0328447188083044,-0.019679930216102,-0.0343410304463285,-0.241553077940913,-0.178568571328651,0.020735898232207,-0.163226324291761,-0.130282828256398,0.212234402765004,-0.0962282705855185,0.308909429005089,0.414576383823483,0.441682379988315,0.0549622089444692,0.0065495764369115,-0.225455989473219,0.229484765783899,0.286730892639419,0.495007244172559,0.308175081206742,0.534498740252092,-0.102030411012962,0.429321824524373,0.204077486844682,0.696797716404952,0.453410377044968,0.492590445277305,0.624655427377389,0.425477053593631
"R_2021",0.604641416813128,0.677296910437271,0.681903037899453,0.677948226962353,0.642433921546898,0.65616698992674,0.278878581283366,0.559508302598457,0.680609666968842,0.655297062623873,0.627250136746938,0.407847079581878,0.569644759570306,0.390043720238621,0.444275211415848,-0.112253649387068,0.516409424413975,0.324562432210199,0.326306044140155,0.350373051517142,0.629378931403844,0.668387771676438,0.649411024862747,0.49333728315664,0.676904859409338,0.673052160260147,0.672948285657275,0.510518335515828,-0.0440744826297477,0.0433691217952435,0.148963242580977,-0.282753476067606,0.288324287409594,0.372971495095625,0.388826226144407,0.407255388982672,0.321015690031337,0.122461890082794,-0.120271751107019,0.0736269242403623,-0.104875215961207,0.0677904647001793,-0.074491417357684,0.156946345176014,0.0765961513409018,0.086274255333317,-0.144423926960936,0.401941503673946,0.411430993224429,0.675074608621938,0.509730425333705,0.0348823825734584,0.0495230356137119,0.402293846052901,0.0117592518372522,0.35225506494869,0.0316865505413364,-0.0721706988221442,0.0557074019302142,-0.0493119979548751,0.15948295686223,0.179983134869845,0.191854441203718,-0.131065218102168,-0.170991014179392,-0.183713833909598,-0.0625459246719879,-0.260168974229998,0.149608643918263,-0.282238417465739,0.374730628000947,0.389359450423146,0.320607559081017,0.122833544011255,0.0748822208575219,-0.10407509482282,0.0682833842041756,0.155918799377796,0.469014136291942,0.422885472377035,0.456977127685728,0.0398203808611384,0.283038482639452,0.0552057011225812,0.601772334535871,0.245651404755802,0.402444261083798,0.677493318474856,0.275255542538211
"RBI_2021",0.572395264137773,0.646754879429127,0.649843740224394,0.64198667614344,0.58786859726154,0.625664471435118,0.202887529948607,0.604955797725512,0.622428816108708,0.675451825562964,0.593898696679543,0.421246502648069,0.592325282785413,0.350597740238491,0.449097146768068,-0.199645469161371,0.532329473451491,0.16460350164741,0.199830836020918,0.327209761499573,0.567576384335705,0.654725770990421,0.60109101071457,0.48341935744739,0.647686065988848,0.642122640736417,0.645014530415196,0.425873065252335,-0.161029192062772,-0.0604062430968651,0.144933307565356,-0.227078010699452,0.236933446614972,0.347685034660306,0.414138203413151,0.415740222233309,0.375902872294027,0.106727450914568,-0.165031198807479,0.0530745580473217,-0.155921195881745,0.131110722187663,-0.086076962608644,0.211954631984847,0.0251747957006221,0.0321129040423438,-0.0828555263054802,0.405871758396778,0.417137834259031,0.6531997467158,0.459515235810312,-0.113709380663029,-0.081525723611583,0.404948542364189,-0.0931085107684451,0.350309161530907,0.0361864435639696,-0.0226700814325697,0.11255032671574,-0.000865036895095277,0.10221415641842,0.110167475093926,0.1100219821113,-0.214115706269493,-0.182295402577512,-0.0982016498541189,-0.127463095384811,-0.227231249400684,0.145167391167168,-0.226917820588293,0.348925097003455,0.414325324985102,0.375042737927864,0.106981941647971,0.0537440858937147,-0.155519617507559,0.132829080378626,0.210279774164951,0.496508274612431,0.408263574245669,0.516504545994325,-0.0965818692872586,0.370450421269126,0.113497483990612,0.657309749277468,0.34009272721946,0.449809902977574,0.677354018471777,0.365664399907512
